scientific,MSWFamilyLatin,Folivore,MammalEater,Granivore,Family,Frugivore,Plant,Leaf,Insectivore,Invertebrate,Fish,Fruit,Woody,Herbaceous,Animal,Species,Order,Other,Nectar,Mammal,Genus,Herptile,Bird,Vertebrate,Root,Seed,TrophicLevel,phylacine_binomial,adult_mass_g,adult_brain_mass_g,adult_body_length_mm,adult_forearm_length_mm,max_longevity_d,maturity_d,age_first_reproduction_d,gestation_length_d,teat_number_n,litter_size_n,litters_per_year_n,interbirth_interval_d,neonate_mass_g,weaning_age_d,weaning_mass_g,generation_length_d,dispersal_km,density_n_km2,hibernation_torpor,fossoriality,home_range_km2,social_group_n,dphy_invertebrate,dphy_vertebrate,dphy_plant,det_inv,det_vend,det_vect,det_vfish,det_vunk,det_scav,det_fruit,det_nect,det_seed,det_plantother,det_diet_breadth_n,trophic_level,foraging_stratum,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,upper_elevation_m,lower_elevation_m,altitude_breadth_m,island_dwelling,island_endemicity,disected_by_mountains,glaciation,biogeographical_realm,habitat_breadth_n,class,subspecies,common_name,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d,male_maturity_d,genus,female_maturity_d,species,order,family,Scientific_Binomial,CommonName,ZoonomiaName,ZoonomiaTip,HillerName,MSWC_Order,MSWC_Family,MSWC_Genus,MSWC_Species,MedgedDataOrder,Divider,Meyer.Diet.Categorical,Meyer.Lab.Classification,Meyer.Lab.Classification.Clean,Meyer.Lab.Classification.Compressed,MeyerTrophicLevel,DerekDietClassification70,DerekDietClassification90,DerekDietClassification90InsVertivoreSorting,panTheriaTrophicLevel,panTheriaTrophicLevelCharacter,Divider2,DividerSpacer,Diet.VertTerrestrial,Diet.VertAll,Diet.AnimalsAll,Diet.PlantHighSugar,Diet.PlantLowSugar,Diet.PlantAll,Divider3,Laurasiatheria,Domestication,DomesticationBinary,Echolocation,ForStrat.Certainty,Diet.PlantO,Diet.Fruit,BodyMass.Value,Activity.Source,ForStrat.Comment,ForStrat.Value,Diet.Inv,Diet.Vfish,Activity.Diurnal,Diet.Seed,Activity.Crepuscular,Activity.Certainty,BodyMass.SpecLevel,Diet.Vect,Diet.Vend,Activity.Nocturnal,Diet.Vunk,MSW3_ID,Diet.Certainty,BodyMass.Source,Diet.Nect,Diet.Scav,Diet.Source
Tachyglossus aculeatus,Tachyglossidae,0.0,0.0,0.0,TACHYGLOSSIDAE,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,aculeatus,MONOTREMATA,0.0,0.0,0.0,Tachyglossus,0.0,0.0,0.0,0.0,0.0,Carnivore,Tachyglossus aculeatus,3169.5,22.08,375.0,,18250.0,556.85,576.71,19.86,,1.0,0.58,1003.063,0.374,185.04,510.415,5687.02,11.439,,1.0,1.0,0.44,1.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,G,2.0,0.0,0.0,1.0,0.0,,,,0.0,,1.0,0.0,Australasian,5.0,Mammalia,-999.0,Short-beaked Echidna,1.0,0.58,3169.5,50.0,19.86,185.04,0.3745,510.415,-999.0,-999.0,-999.0,49.5,2.748117728,-999.0,-999.0,2909.0,-999.0,-999.0,-999.0,37.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,548.0,Tachyglossus,552.425,aculeatus,Monotremata,Tachyglossidae,tachyglossus_aculeatus,Short-beaked echidna,HLtacAcu1,vs_HLtacAcu1,,Monotremata,Tachyglossidae,Tachyglossus,aculeatus,430.0,-,,,,,,C-Invertebrate-eater,C-Invertebrate-eater,C-Invertebrate-eater,3.0,Carnivore,-,,0.0,0.0,100.0,0.0,0.0,0.0,-,,,,,A,0.0,0.0,3025.0,Ref_1,,G,100.0,0.0,0.0,0.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,1.0,ABC,Ref_117,0.0,0.0,Ref_1
Zaglossus attenboroughi,Tachyglossidae,0.0,0.0,0.0,TACHYGLOSSIDAE,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,attenboroughi,MONOTREMATA,0.0,0.0,0.0,Zaglossus,0.0,0.0,0.0,0.0,0.0,Carnivore,Zaglossus attenboroughi,3000.0,,,,,,,,,,,,,,,,11.135,,,,,,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,G,1.0,0.0,0.0,1.0,0.0,1600.0,166.0,1434.0,,,,,Australasian,1.0,Mammalia,-999.0,Sir David's Long-beaked Echidna,-999.0,-999.0,3000.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Zaglossus,-999.0,attenboroughi,Monotremata,Tachyglossidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,0.0,8532.39,Ref_1,,G,100.0,0.0,0.0,0.0,0.0,ABC,0.0,0.0,0.0,1.0,0.0,2.0,ABC,"Ref_2, Ref_3",0.0,0.0,Ref_65
Zaglossus bartoni,Tachyglossidae,0.0,0.0,0.0,TACHYGLOSSIDAE,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,bartoni,MONOTREMATA,0.0,0.0,0.0,Zaglossus,0.0,0.0,0.0,0.0,0.0,Carnivore,Zaglossus bartoni,8951.71,,675.0,,15038.0,,,10.0,,1.0,1.0,365.0,,152.0,400.0,5840.0,19.026,,,,,,100.0,0.0,0.0,,,,,,,,,,,,3.0,G,1.0,0.0,0.0,1.0,0.0,4150.0,0.0,4150.0,,,,,Australasian,3.0,Mammalia,-999.0,Eastern Long-beaked Echidna,1.0,1.0,8951.71,41.2,10.0,152.0,-999.0,400.0,-999.0,10.0,-999.0,31.0,1.0,-999.0,-999.0,11848.6,-999.0,-999.0,-999.0,67.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Zaglossus,-999.0,bartoni,Monotremata,Tachyglossidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,0.0,7180.0,Ref_1,,G,100.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,3.0,D1,Ref_131,0.0,0.0,Ref_2
Zaglossus bruijni,Tachyglossidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mammalia,-999.0,Western Long-beaked Echidna,1.0,-999.0,10000.0,41.2,10.0,152.0,-999.0,400.0,-999.0,10.0,-999.0,31.0,-999.0,-999.0,-999.0,11848.6,-999.0,-999.0,-999.0,67.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Zaglossus,-999.0,bruijni,Monotremata,Tachyglossidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,0.0,10139.5,Ref_1,,G,100.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,4.0,ABC,Ref_117,0.0,0.0,Ref_1
Ornithorhynchus anatinus,Ornithorhynchidae,0.0,0.0,0.0,ORNITHORHYNCHIDAE,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,anatinus,MONOTREMATA,0.0,0.0,0.0,Ornithorhynchus,1.0,0.0,1.0,0.0,0.0,Carnivore,Ornithorhynchus anatinus,1225.0,,419.18,,8249.0,742.46,730.0,14.74,,2.0,1.1,364.75,,113.485,,2878.755,7.18,,0.0,1.0,0.07,1.0,80.0,20.0,0.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,G,2.0,1.0,0.0,1.0,0.0,,,,0.0,,1.0,0.0,Australasian,1.0,Mammalia,-999.0,Platypus,2.0,1.1,1225.0,22.6,14.74,113.485,-999.0,-999.0,-999.0,-999.0,-999.0,17.0,0.999315537,-999.0,-999.0,1030.3,-999.0,-999.0,-999.0,41.918,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,548.0,Ornithorhynchus,645.23,anatinus,Monotremata,Ornithorhynchidae,ornithorhynchus_anatinus,Platypus,HLornAna3,vs_HLornAna3,ornAna2,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,169.0,-,Insectivore/Carnivore,Insectivore,Insectivore,Insectivore,Carnivore,C-Invertebrate-eater,C-All-Animals-Eater,C-InsVertivore-Insectivore,3.0,Carnivore,-,,0.0,20.0,100.0,0.0,0.0,0.0,-,0.0,,,0.0,A,0.0,0.0,1484.25,Ref_1,,G,80.0,20.0,1.0,0.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,5.0,ABC,Ref_117,0.0,0.0,Ref_1
Caluromys philander,Didelphidae,0.0,0.0,1.0,DIDELPHIDAE,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,philander,DIDELPHIMORPHIA,0.0,0.0,0.0,Caluromys,0.0,0.0,1.0,0.0,1.0,Omnivore,Caluromys philander,298.235,3.017,232.135,,3248.5,314.52,334.58,23.995,7.0,4.34,2.0,166.136,0.2,109.825,56.065,1043.776,0.545,40.0,0.0,2.0,0.01,1.0,20.0,10.0,70.0,20.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,10.0,40.0,3.0,2.0,Ar,2.0,0.0,0.0,1.0,0.0,1800.0,0.0,1800.0,0.0,,1.0,0.0,Neotropical,1.0,Mammalia,-999.0,Bare-tailed Woolly Opossum,4.34,2.0,298.235,8.9,23.995,109.825,0.2,56.065,-999.0,-999.0,-999.0,7.616666667,0.455167693,-999.0,249.0,-999.0,-999.0,-999.0,-999.0,23.2135,21.7,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,Caluromys,309.26,philander,Didelphimorphia,Didelphidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,40.0,20.0,229.25,Ref_1,,Ar,20.0,0.0,0.0,10.0,1.0,ABC,1.0,0.0,0.0,1.0,10.0,6.0,ABC,Ref_117,0.0,0.0,Ref_1
Caluromys derbianus,Didelphidae,1.0,0.0,1.0,DIDELPHIDAE,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,derbianus,DIDELPHIMORPHIA,0.0,0.0,0.0,Caluromys,0.0,0.0,2.0,0.0,1.0,Omnivore,Caluromys derbianus,330.0,3.664,265.5,,3175.5,251.71,240.0,21.0,,3.07,2.0,,,120.0,,895.472,0.576,11.86,0.0,2.0,,1.0,20.0,10.0,70.0,20.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,10.0,40.0,3.0,2.0,Ar,2.0,0.0,0.0,1.0,0.0,2600.0,0.0,2600.0,0.0,,1.0,0.0,Neotropical,1.0,Mammalia,-999.0,Derby's Woolly Opossum,3.07,2.0,330.0,8.7,21.0,120.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.333333333,-999.0,-999.0,-999.0,342.7,-999.0,-999.0,-999.0,26.55,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,243.52,240.0,Caluromys,240.0,derbianus,Didelphimorphia,Didelphidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,40.0,20.0,297.0,Ref_1,,Ar,20.0,0.0,0.0,10.0,1.0,ABC,1.0,0.0,0.0,1.0,10.0,7.0,ABC,Ref_117,0.0,0.0,Ref_1
Caluromys lanatus,Didelphidae,0.0,0.0,0.0,DIDELPHIDAE,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,lanatus,DIDELPHIMORPHIA,0.0,2.0,0.0,Caluromys,0.0,0.0,0.0,0.0,0.0,Herbivore,Caluromys lanatus,410.0,3.657,284.15,,3552.667,,,,,2.5,3.0,,3.5,,,,0.649,,0.0,2.0,,1.0,20.0,10.0,70.0,20.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,10.0,40.0,3.0,1.0,Ar,2.0,0.0,0.0,1.0,0.0,2600.0,,,0.0,,1.0,0.0,Neotropical,1.0,Mammalia,-999.0,Brown-eared Woolly Opossum,2.5,3.0,410.0,9.733333333,-999.0,-999.0,3.5,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,355.7,365.0,-999.0,-999.0,-999.0,28.415,29.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Caluromys,-999.0,lanatus,Didelphimorphia,Didelphidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,40.0,20.0,325.0,Ref_1,,Ar,20.0,0.0,0.0,10.0,1.0,ABC,1.0,0.0,0.0,1.0,10.0,8.0,ABC,Ref_117,0.0,0.0,Ref_1
Caluromysiops irrupta,Didelphidae,0.0,0.0,0.0,DIDELPHIDAE,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,irrupta,DIDELPHIMORPHIA,0.0,1.0,0.0,Caluromysiops,0.0,0.0,0.0,0.0,0.0,Herbivore,Caluromysiops irrupta,257.48,,290.0,,2859.167,,,13.0,,2.0,,,,117.5,,,0.503,8.85,0.0,2.0,,1.0,20.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,0.0,20.0,4.0,1.0,Ar,1.0,0.0,0.0,1.0,0.0,700.0,,,0.0,,0.0,0.0,Neotropical,1.0,Mammalia,-999.0,Black-shouldered Opossum,2.0,-999.0,257.48,7.833333333,13.0,117.5,-999.0,-999.0,-999.0,-999.0,-999.0,7.8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,29.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Caluromysiops,-999.0,irrupta,Didelphimorphia,Didelphidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,20.0,20.0,250.0,Ref_1,,Ar,20.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,9.0,ABC,Ref_117,40.0,0.0,Ref_1
Glironia venusta,Didelphidae,0.0,0.0,1.0,DIDELPHIDAE,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,venusta,DIDELPHIMORPHIA,0.0,0.0,0.0,Glironia,0.0,0.0,0.0,0.0,1.0,Omnivore,Glironia venusta,140.0,17.094,190.565,,730.0,,,,,4.0,,,,,,,0.359,,0.0,2.0,,,40.0,20.0,40.0,40.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,4.0,2.0,Ar,1.0,0.0,0.0,1.0,0.0,500.0,0.0,500.0,0.0,,0.0,0.0,Neotropical,1.0,Mammalia,-999.0,Bushy-tailed Opossum,4.0,-999.0,140.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.5,-999.0,-999.0,104.0,-999.0,-999.0,-999.0,-999.0,19.0565,18.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Glironia,-999.0,venusta,Didelphimorphia,Didelphidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,20.0,114.0,Ref_1,,Ar,40.0,0.0,0.0,20.0,0.0,ABC,1.0,0.0,0.0,1.0,20.0,10.0,ABC,Ref_117,0.0,0.0,Ref_1
