Herptile,Mammal,Fruit,Nectar,Fish,Woody,Other,Animal,Plant,Herbaceous,Vertebrate,Invertebrate,Leaf,Seed,Bird,trophic_level,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,habitat_breadth_n,Activity.Nocturnal,Activity.Crepuscular,BodyMass.SpecLevel,Activity.Diurnal,scientific,Order,Family,Genus,DerekDietClassification90InsVertivoreSorting,foraging_stratum,biogeographical_realm,Species,adult_mass_g,dphy_invertebrate,dphy_vertebrate,dphy_plant,adult_body_mass_g,Diet.VertTerrestrial,Diet.VertAll,Diet.AnimalsAll,Diet.PlantHighSugar,Diet.PlantLowSugar,Diet.Vunk,Diet.Seed,BodyMass.Value,Diet.Vect,Diet.Scav,Diet.Nect,Diet.PlantO,Diet.Vend,Diet.Inv,Diet.Fruit,Diet.Vfish,Diet.PlantAll
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,Tachyglossus aculeatus,MONOTREMATA,TACHYGLOSSIDAE,Tachyglossus,C-Invertebrate-eater,G,Australasian,aculeatus,3169.5,100.0,0.0,0.0,3169.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3025.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Zaglossus attenboroughi,MONOTREMATA,TACHYGLOSSIDAE,Zaglossus,,G,Australasian,attenboroughi,3000.0,100.0,0.0,0.0,3000.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8532.39,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,Zaglossus bartoni,MONOTREMATA,TACHYGLOSSIDAE,Zaglossus,,G,Australasian,bartoni,8951.71,100.0,0.0,0.0,8951.71,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7180.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,Zaglossus bruijni,,,,,,,,68.16,20.0,0.0,70.0,82.01,0.0,0.0,20.0,0.0,20.0,0.0,0.0,75.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,0.0,70.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,Ornithorhynchus anatinus,MONOTREMATA,ORNITHORHYNCHIDAE,Ornithorhynchus,C-InsVertivore-Insectivore,G,Australasian,anatinus,1225.0,80.0,20.0,0.0,1225.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,1484.25,0.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,Caluromys philander,DIDELPHIMORPHIA,DIDELPHIDAE,Caluromys,,Ar,Neotropical,philander,298.235,20.0,10.0,70.0,298.235,10.0,10.0,30.0,20.0,50.0,10.0,10.0,229.25,0.0,0.0,0.0,40.0,0.0,20.0,20.0,0.0,70.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,Caluromys derbianus,DIDELPHIMORPHIA,DIDELPHIDAE,Caluromys,,Ar,Neotropical,derbianus,330.0,20.0,10.0,70.0,330.0,10.0,10.0,30.0,20.0,50.0,10.0,10.0,297.0,0.0,0.0,0.0,40.0,0.0,20.0,20.0,0.0,70.0
0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,Caluromys lanatus,DIDELPHIMORPHIA,DIDELPHIDAE,Caluromys,,Ar,Neotropical,lanatus,410.0,20.0,10.0,70.0,410.0,10.0,10.0,30.0,20.0,50.0,10.0,10.0,325.0,0.0,0.0,0.0,40.0,0.0,20.0,20.0,0.0,70.0
0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Caluromysiops irrupta,DIDELPHIMORPHIA,DIDELPHIDAE,Caluromysiops,,Ar,Neotropical,irrupta,257.48,20.0,0.0,80.0,257.48,0.0,0.0,20.0,60.0,20.0,0.0,0.0,250.0,0.0,0.0,40.0,20.0,0.0,20.0,20.0,0.0,80.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Glironia venusta,DIDELPHIMORPHIA,DIDELPHIDAE,Glironia,,Ar,Neotropical,venusta,140.0,40.0,20.0,40.0,140.0,20.0,20.0,60.0,20.0,20.0,20.0,20.0,114.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,0.0,40.0
