,count,unique,top,freq,mean,std,min,25%,50%,75%,max
scientific,5429,5400,Neotoma bryanti,4,,,,,,,
MSWFamilyLatin,5429,148,Muridae,730,,,,,,,
Herptile,4936.0,,,,0.16997568881685576,0.5488110751130106,0.0,0.0,0.0,0.0,3.0
Species,4940,3490,macrotis,13,,,,,,,
Mammal,4937.0,,,,0.11079602997771926,0.46042634292727347,0.0,0.0,0.0,0.0,3.0
TrophicLevel,4940,4,Herbivore,1821,,,,,,,
Order,4940,26,RODENTIA,2149,,,,,,,
Insectivore,4940.0,,,,0.5149797570850202,0.499826148754426,0.0,0.0,1.0,1.0,1.0
Fruit,4932.0,,,,0.41362530413625304,0.6025371187142933,0.0,0.0,0.0,1.0,3.0
Family,4940,134,MURIDAE,671,,,,,,,
Nectar,4938.0,,,,0.042122316727420006,0.2566666545260877,0.0,0.0,0.0,0.0,3.0
Fish,4936.0,,,,0.15336304700162073,0.6335605906064223,0.0,0.0,0.0,0.0,3.0
Granivore,4940.0,,,,0.22631578947368422,0.4184882373644394,0.0,0.0,0.0,0.0,1.0
Woody,4937.0,,,,0.108973060563095,0.3604687243847003,0.0,0.0,0.0,0.0,3.0
Other,4939.0,,,,0.24134440170074914,0.550841153824035,0.0,0.0,0.0,0.0,3.0
Folivore,4940.0,,,,0.26902834008097165,0.4434996149829855,0.0,0.0,0.0,1.0,1.0
Animal,4933.0,,,,0.8850598013379283,0.7811948481566018,0.0,0.0,1.0,1.0,3.0
Genus,4940,1125,Crocidura,171,,,,,,,
Plant,4937.0,,,,0.7861049220174194,0.5809870460347017,0.0,0.0,1.0,1.0,3.0
Herbaceous,4938.0,,,,0.1642365330093155,0.395386646087963,0.0,0.0,0.0,0.0,3.0
Vertebrate,4939.0,,,,0.49706418303300265,0.9256162146392828,0.0,0.0,0.0,1.0,3.0
Invertebrate,4930.0,,,,0.8115618661257606,0.7683563428477747,0.0,0.0,1.0,1.0,3.0
Leaf,4927.0,,,,0.34767607063121575,0.5694608021260859,0.0,0.0,0.0,1.0,3.0
MammalEater,4940.0,,,,0.03684210526315789,0.18839307085990975,0.0,0.0,0.0,0.0,1.0
Root,4939.0,5.0,0.0,4354.0,,,,,,,
Seed,4934.0,,,,0.30158086745034457,0.5578708454848851,0.0,0.0,0.0,1.0,3.0
Bird,4936.0,,,,0.08691247974068071,0.4302904337586937,0.0,0.0,0.0,0.0,3.0
Frugivore,4940.0,,,,0.3139676113360324,0.4641503644352641,0.0,0.0,0.0,1.0,1.0
phylacine_binomial,4888,4863,Not recognised,10,,,,,,,
adult_mass_g,4876.0,,,,121732.27577296966,2665869.5824064817,1.6,19.95,68.16,623.9325,149000000.0
adult_brain_mass_g,1490.0,,,,98.14897718120805,481.60189893382864,0.071,0.7515000000000001,5.405,40.039,7111.43
adult_body_length_mm,3581.0,,,,483.34638983524155,1220.4832466930238,30.99,114.75,185.0,433.745,30490.0
adult_forearm_length_mm,858.0,,,,55.416862470862476,30.736191456841432,23.0,37.7725,45.5,59.394999999999996,246.0
max_longevity_d,2356.0,,,,5078.392724533107,5105.716227298625,30.417,1456.958,3540.5,7418.625,77015.0
maturity_d,1825.0,,,,580.4985638356166,733.4260267903263,13.57,107.323,340.14,714.83,6041.21
age_first_reproduction_d,1791.0,,,,651.6251111111111,755.2715624233825,39.0,175.8825,395.977,776.0,8599.95
gestation_length_d,2019.0,,,,99.95197077761267,94.44366848588629,10.0,28.578,61.27,156.215,669.68
teat_number_n,600.0,,,,5.3966666666666665,2.808166404105022,1.0,4.0,4.0,6.0,26.0
litter_size_n,3202.0,,,,2.574343535290443,1.8261409893199567,0.9,1.0,2.0,3.54,16.89
litters_per_year_n,1959.0,,,,1.842728943338438,1.304417585170093,0.12,1.0,1.33,2.085,10.0
interbirth_interval_d,1147.0,,,,315.06120401046206,282.5545924067879,16.988,59.959,358.255,364.8125,1769.038
neonate_mass_g,1712.0,,,,8540.787237733644,91086.9000987145,0.004,2.49125,9.280000000000001,227.0,2250000.0
weaning_age_d,1847.0,,,,113.67892365998918,154.84419881266174,1.94,26.784,51.0,128.4155,1826.25
weaning_mass_g,967.0,,,,42748.360180972086,627884.2588838423,0.7,12.58,40.0,923.425,17000000.0
generation_length_d,1204.0,,,,2527.193484219269,1801.7395752933423,128.979,1369.261,2190.0,3285.0,18980.0
dispersal_km,3708.0,,,,2.240994875943905,6.096232736872472,0.04,0.226,0.524,1.6035,109.144
density_n_km2,1005.0,,,,735.7465203980098,2842.1685157812753,0.0,5.162,41.7,384.42,57067.85
hibernation_torpor,2776.0,,,,0.058717579250720464,0.23513770899572764,0.0,0.0,0.0,0.0,1.0
fossoriality,2443.0,,,,1.5673352435530086,0.4955466510721599,1.0,1.0,2.0,2.0,2.0
home_range_km2,655.0,,,,251.69187175572526,4322.31869760436,0.0,0.0035,0.07,1.1549999999999998,79244.72
social_group_n,641.0,,,,7.2217160686427455,12.356576469658052,1.0,1.0,1.5,7.7,100.0
dphy_invertebrate,4877.0,,,,36.225958581094936,38.96860522418084,0.0,0.0,20.0,79.0,100.0
dphy_vertebrate,4877.0,,,,9.3727701455813,20.643410339826023,0.0,0.0,0.0,10.0,100.0
dphy_plant,4877.0,,,,54.401271273323765,43.59444268672489,0.0,0.0,70.0,100.0,100.0
det_inv,4000.0,,,,36.544583249999995,38.65796906135987,0.0,0.0,20.0,80.0,100.0
det_vend,4000.0,,,,3.21875,13.786530221248034,0.0,0.0,0.0,0.0,100.0
det_vect,4000.0,,,,1.43875,5.05891753235312,0.0,0.0,0.0,0.0,60.0
det_vfish,4000.0,,,,1.8025,10.041847610168983,0.0,0.0,0.0,0.0,100.0
det_vunk,4000.0,,,,1.3116667499999999,5.490735798059807,0.0,0.0,0.0,0.0,100.0
det_scav,4000.0,,,,2.555,9.007899897597735,0.0,0.0,0.0,0.0,100.0
det_fruit,4000.0,,,,14.63333325,24.89114405727094,0.0,0.0,0.0,20.0,100.0
det_nect,4000.0,,,,1.51875,8.783161983084753,0.0,0.0,0.0,0.0,100.0
det_seed,4000.0,,,,9.190833249999999,16.813869362632754,0.0,0.0,0.0,20.0,100.0
det_plantother,4000.0,,,,27.7858335,35.72407561504447,0.0,0.0,0.0,50.0,100.0
det_diet_breadth_n,4000.0,,,,1.87175,0.941022485560033,1.0,1.0,2.0,2.0,5.0
trophic_level,4844.0,,,,1.9731626754748142,0.8098749336651747,1.0,1.0,2.0,3.0,3.0
foraging_stratum,4888,5,G,2795,,,,,,,
activity_cycle,4370.0,,,,1.5219679633867278,0.7240420661806832,1.0,1.0,1.0,2.0,3.0
freshwater,4883.0,,,,0.02662297767765718,0.16099535039119572,0.0,0.0,0.0,0.0,1.0
marine,4883.0,,,,0.025599016997747286,0.1579519441094281,0.0,0.0,0.0,0.0,1.0
terrestrial_non-volant,4883.0,,,,0.7681753020684006,0.4220408565831588,0.0,1.0,1.0,1.0,1.0
terrestrial_volant,4883.0,,,,0.21380298996518535,0.4100313430322288,0.0,0.0,0.0,0.0,1.0
upper_elevation_m,2624.0,,,,2084.818044969512,1196.7469036208072,0.0,1200.0,2000.0,2900.0,6700.0
lower_elevation_m,2390.0,,,,569.2321966527196,862.2512365869941,0.0,0.0,36.0,993.75,4500.0
altitude_breadth_m,2229.0,,,,1599.214266487214,1021.115635210758,0.0,900.0,1500.0,2200.0,6200.0
island_dwelling,3001.0,,,,0.2049316894368544,0.403718966194858,0.0,0.0,0.0,0.0,1.0
island_endemicity,0.0,,,,,,,,,,
disected_by_mountains,3001.0,,,,0.49416861046317895,0.5000493144624524,0.0,0.0,0.0,1.0,1.0
glaciation,3001.0,,,,0.05131622792402533,0.22067872643256764,0.0,0.0,0.0,0.0,1.0
biogeographical_realm,4813,45,Neotropical,1194,,,,,,,
habitat_breadth_n,4668.0,,,,1.976649528706084,1.1615265587007324,1.0,1.0,2.0,3.0,9.0
class,4966,1,Mammalia,4966,,,,,,,
subspecies,4966.0,,,,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
common_name,4966,4937,Bryant's Woodrat,4,,,,,,,
litter_or_clutch_size_n,4966.0,,,,-288.0493499546919,454.60909216681216,-999.0,-999.0,1.0,2.99,16.89
litters_or_clutches_per_y,4966.0,,,,-563.6893936199184,496.20435888364915,-999.0,-999.0,-999.0,1.0,10.0
adult_body_mass_g,4966.0,,,,125415.16491341121,2649823.600701716,-999.0,16.0,66.95,716.8362500000001,149000000.0
maximum_longevity_y,4966.0,,,,-462.7026096756571,505.7948283729154,-999.0,-999.0,1.083333333,10.5,211.0
gestation_d,4966.0,,,,-504.2539027536851,551.1296227771652,-999.0,-999.0,-999.0,47.449195,669.68
weaning_d,4966.0,,,,-537.8708473801852,556.9021817301214,-999.0,-999.0,-999.0,38.0,1826.25
birth_or_hatching_weight_g,4966.0,,,,2754.9343906061217,55886.376883891884,-999.0,-999.0,-999.0,4.365,2250000.0
weaning_weight_g,4966.0,,,,8402.666717680228,278951.4647752592,-999.0,-999.0,-999.0,-999.0,17000000.0
egg_mass_g,4966.0,,,,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
incubation_d,4966.0,,,,-998.5936367297624,20.24692464268433,-999.0,-999.0,-999.0,-999.0,10.0
fledging_age_d,4966.0,,,,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
longevity_y,4966.0,,,,-463.7310434176271,504.79229124077926,-999.0,-999.0,1.083333333,9.537500000000001,122.5
inter_litter_or_interbirth_interval_y,4966.0,,,,-745.7080251691226,434.90547643234316,-999.0,-999.0,-999.0,0.057494867,4.846680356
female_body_mass_g,4966.0,,,,1087.8923936770036,56461.910490073795,-999.0,-999.0,-999.0,-999.0,3700000.0
male_body_mass_g,4966.0,,,,7211.383859242851,130350.6652503084,-999.0,-999.0,-999.0,-999.0,4545000.0
no_sex_body_mass_g,4966.0,,,,138238.89473117195,3069521.2461043783,-999.0,-999.0,-999.0,-999.0,136000000.0
egg_width_mm,4966.0,,,,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
egg_length_mm,4966.0,,,,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
fledging_mass_g,4966.0,,,,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0
adult_svl_cm,4966.0,,,,-168.95611149416027,437.986361968995,-999.0,6.39225,14.5,31.488500000000002,3049.0
male_svl_cm,4966.0,,,,-987.4965585984696,110.03177868864522,-999.0,-999.0,-999.0,-999.0,315.2
female_svl_cm,4966.0,,,,-992.4599718082964,89.33391539588379,-999.0,-999.0,-999.0,-999.0,1125.0
birth_or_hatching_svl_cm,4966.0,,,,-913.0764919452275,285.46463454987673,-999.0,-999.0,-999.0,-999.0,759.999
female_svl_at_maturity_cm,4966.0,,,,-998.4281111558598,28.67232608489163,-999.0,-999.0,-999.0,-999.0,580.0
female_body_mass_at_maturity_g,4966.0,,,,-880.7710430930326,4791.875498096754,-999.0,-999.0,-999.0,-999.0,194000.0
no_sex_svl_cm,4966.0,,,,-962.9696335078535,234.66462402442824,-999.0,-999.0,-999.0,-999.0,3300.0
no_sex_maturity_d,4966.0,,,,-964.9887142569472,255.61264162723856,-999.0,-999.0,-999.0,-999.0,4383.0
female_maturity_d,4969.0,,,,-356.94875543570134,899.7114206008406,-999.0,-999.0,-999.0,251.71,6391.56
order,5339,30,Rodentia,2233,,,,,,,
genus,5339,1212,Crocidura,172,,,,,,,
species,5339,3729,australis,15,,,,,,,
family,5339,154,Muridae,712,,,,,,,
male_maturity_d,4969.0,,,,-631.6486961159187,826.3962372308001,-999.0,-999.0,-999.0,-999.0,8212.0
Scientific_Binomial,396,388,physeter_catodon,2,,,,,,,
CommonName,396,395,Desmarest cuban hutia,2,,,,,,,
ZoonomiaName,384,384,HLmunCri1,1,,,,,,,
ZoonomiaTip,396,385,vs_NA,12,,,,,,,
HillerName,102,102,lipVex1,1,,,,,,,
MSWC_Order,389,23,Rodentia,80,,,,,,,
MSWC_Family,389,113,Bovidae,41,,,,,,,
MSWC_Genus,389,292,Pteropus,5,,,,,,,
MSWC_Species,389,368,canadensis,4,,,,,,,
MedgedDataOrder,396.0,,,,221.12373737373738,129.14969174623909,1.0,111.75,215.5,331.25,453.0
Divider,396,1,-,396,,,,,,,
Meyer.Diet.Categorical,107,14,Herbivore,39,,,,,,,
Meyer.Lab.Classification,222,17,Herbivore,77,,,,,,,
Meyer.Lab.Classification.Clean,222,16,Herbivore,77,,,,,,,
Meyer.Lab.Classification.Compressed,222,8,_Omnivore,78,,,,,,,
MeyerTrophicLevel,219,3,Omnivore,78,,,,,,,
DerekDietClassification70,389,16,H-Nonspecific-Herbivore,141,,,,,,,
DerekDietClassification90,389,16,H-Nonspecific-Herbivore,103,,,,,,,
DerekDietClassification90InsVertivoreSorting,389,19,H-Nonspecific-Herbivore,103,,,,,,,
panTheriaTrophicLevel,389.0,,,,-206.53727506426736,406.9168039462032,-999.0,1.0,1.0,2.0,3.0
panTheriaTrophicLevelCharacter,308,3,Herbivore,125,,,,,,,
Divider2,396,1,-,396,,,,,,,
DividerSpacer,0.0,,,,,,,,,,
Diet.VertTerrestrial,388.0,,,,8.324742268041238,22.48232624693126,0.0,0.0,0.0,0.0,100.0
Diet.VertAll,388.0,,,,14.162371134020619,28.348275613880084,0.0,0.0,0.0,10.0,100.0
Diet.AnimalsAll,388.0,,,,38.24742268041237,43.181255127356486,0.0,0.0,20.0,100.0,100.0
Diet.PlantHighSugar,388.0,,,,15.309278350515465,25.962748437995167,0.0,0.0,0.0,20.0,100.0
Diet.PlantLowSugar,388.0,,,,45.36082474226804,43.164533619923844,0.0,0.0,40.0,100.0,100.0
Diet.PlantAll,388.0,,,,60.670103092783506,43.74065491026636,0.0,0.0,80.0,100.0,100.0
Divider3,396,1,-,396,,,,,,,
Laurasiatheria,217.0,,,,0.5069124423963134,0.501108176280542,0.0,0.0,1.0,1.0,1.0
Domestication,191,3,wild,105,,,,,,,
DomesticationBinary,191.0,,,,0.06282722513089005,0.24328966164927246,0.0,0.0,0.0,0.0,1.0
Echolocation,219.0,,,,0.1643835616438356,0.3714723481184223,0.0,0.0,0.0,0.0,1.0
Diet.Certainty,5429,3,ABC,4376,,,,,,,
Diet.Vunk,5429.0,,,,1.1530668631423835,5.063738934468249,0.0,0.0,0.0,0.0,100.0
ForStrat.Certainty,5429,2,A,5223,,,,,,,
Diet.Seed,5429.0,,,,9.546877878062258,16.594148223554505,0.0,0.0,0.0,20.0,100.0
BodyMass.Value,5429.0,,,,145958.4964965924,3275143.1465794845,1.75,20.0,75.0,592.0,190000000.0
Diet.Vect,5429.0,,,,1.4477804383864432,5.168859155150709,0.0,0.0,0.0,0.0,60.0
Diet.Scav,5429.0,,,,2.433228955608768,8.745533079160458,0.0,0.0,0.0,0.0,100.0
Diet.Source,5429,114,Ref_1,4200,,,,,,,
BodyMass.Source,5429,60,Ref_117,3435,,,,,,,
ForStrat.Comment,200,13,and gleaners,110,,,,,,,
Diet.Nect,5429.0,,,,1.5380364708049366,8.481387523057888,0.0,0.0,0.0,0.0,100.0
Diet.PlantO,5429.0,,,,29.38294345183275,35.78942564938874,0.0,0.0,10.0,60.0,100.0
Activity.Nocturnal,5429.0,,,,0.8121200957819119,0.39065221847929027,0.0,1.0,1.0,1.0,1.0
MSW3_ID,5429.0,,,,2711.1958003315526,1569.8110525676311,1.0,1356.0,2702.0,4071.0,9991.0
Diet.Vend,5429.0,,,,2.7574138883772332,12.796386813943881,0.0,0.0,0.0,0.0,100.0
Diet.Inv,5429.0,,,,35.058942715048815,38.05558983768968,0.0,0.0,20.0,70.0,100.0
Activity.Crepuscular,5429.0,,,,0.26229508196721313,0.4399227429491957,0.0,0.0,0.0,1.0,1.0
Activity.Source,5429,6,Ref_1,4794,,,,,,,
BodyMass.SpecLevel,5429.0,,,,0.95063547614662,0.4984815387129199,0.0,1.0,1.0,1.0,2.0
Diet.Fruit,5429.0,,,,15.161171486461596,24.674685080366903,0.0,0.0,0.0,20.0,100.0
ForStrat.Value,5429,5,G,3123,,,,,,,
Diet.Vfish,5429.0,,,,1.4652790569165592,9.046965653081982,0.0,0.0,0.0,0.0,100.0
Activity.Diurnal,5429.0,,,,0.33449990790200773,0.47185880397226604,0.0,0.0,0.0,1.0,1.0
Activity.Certainty,5429,3,ABC,4833,,,,,,,
