scientific,MSWFamilyLatin,Folivore,MammalEater,Granivore,Family,Frugivore,Plant,Leaf,Insectivore,Invertebrate,Fish,Fruit,Woody,Herbaceous,Animal,Species,Order,Other,Nectar,Mammal,Genus,Herptile,Bird,Vertebrate,Root,Seed,TrophicLevel,phylacine_binomial,adult_mass_g,adult_brain_mass_g,adult_body_length_mm,adult_forearm_length_mm,max_longevity_d,maturity_d,age_first_reproduction_d,gestation_length_d,teat_number_n,litter_size_n,litters_per_year_n,interbirth_interval_d,neonate_mass_g,weaning_age_d,weaning_mass_g,generation_length_d,dispersal_km,density_n_km2,hibernation_torpor,fossoriality,home_range_km2,social_group_n,dphy_invertebrate,dphy_vertebrate,dphy_plant,det_inv,det_vend,det_vect,det_vfish,det_vunk,det_scav,det_fruit,det_nect,det_seed,det_plantother,det_diet_breadth_n,trophic_level,foraging_stratum,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,upper_elevation_m,lower_elevation_m,altitude_breadth_m,island_dwelling,island_endemicity,disected_by_mountains,glaciation,biogeographical_realm,habitat_breadth_n,class,subspecies,common_name,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d,male_maturity_d,genus,female_maturity_d,species,order,family,Scientific_Binomial,CommonName,ZoonomiaName,ZoonomiaTip,HillerName,MSWC_Order,MSWC_Family,MSWC_Genus,MSWC_Species,MedgedDataOrder,Divider,Meyer.Diet.Categorical,Meyer.Lab.Classification,Meyer.Lab.Classification.Clean,Meyer.Lab.Classification.Compressed,MeyerTrophicLevel,DerekDietClassification70,DerekDietClassification90,DerekDietClassification90InsVertivoreSorting,panTheriaTrophicLevel,panTheriaTrophicLevelCharacter,Divider2,DividerSpacer,Diet.VertTerrestrial,Diet.VertAll,Diet.AnimalsAll,Diet.PlantHighSugar,Diet.PlantLowSugar,Diet.PlantAll,Divider3,Laurasiatheria,Domestication,DomesticationBinary,Echolocation,ForStrat.Certainty,Diet.PlantO,Diet.Fruit,BodyMass.Value,Activity.Source,ForStrat.Comment,ForStrat.Value,Diet.Inv,Diet.Vfish,Activity.Diurnal,Diet.Seed,Activity.Crepuscular,Activity.Certainty,BodyMass.SpecLevel,Diet.Vect,Diet.Vend,Activity.Nocturnal,Diet.Vunk,MSW3_ID,Diet.Certainty,BodyMass.Source,Diet.Nect,Diet.Scav,Diet.Source
Tachyglossus aculeatus,Tachyglossidae,0.0,0.0,0.0,TACHYGLOSSIDAE,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,aculeatus,MONOTREMATA,0.0,0.0,0.0,Tachyglossus,0.0,0.0,0.0,0.0,0.0,Carnivore,Tachyglossus aculeatus,3169.5,22.08,375.0,,18250.0,556.85,576.71,19.86,,1.0,0.58,1003.063,0.374,185.04,510.415,5687.02,11.439,,1.0,1.0,0.44,1.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,G,2.0,0.0,0.0,1.0,0.0,,,,0.0,,1.0,0.0,Australasian,5.0,Mammalia,-999.0,Short-beaked Echidna,1.0,0.58,3169.5,50.0,19.86,185.04,0.3745,510.415,-999.0,-999.0,-999.0,49.5,2.748117728,-999.0,-999.0,2909.0,-999.0,-999.0,-999.0,37.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,548.0,Tachyglossus,552.425,aculeatus,Monotremata,Tachyglossidae,tachyglossus_aculeatus,Short-beaked echidna,HLtacAcu1,vs_HLtacAcu1,,Monotremata,Tachyglossidae,Tachyglossus,aculeatus,430.0,-,,,,,,C-Invertebrate-eater,C-Invertebrate-eater,C-Invertebrate-eater,3.0,Carnivore,-,,0.0,0.0,100.0,0.0,0.0,0.0,-,,,,,A,0.0,0.0,3025.0,Ref_1,,G,100.0,0.0,0.0,0.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,1.0,ABC,Ref_117,0.0,0.0,Ref_1
Ornithorhynchus anatinus,Ornithorhynchidae,0.0,0.0,0.0,ORNITHORHYNCHIDAE,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,anatinus,MONOTREMATA,0.0,0.0,0.0,Ornithorhynchus,1.0,0.0,1.0,0.0,0.0,Carnivore,Ornithorhynchus anatinus,1225.0,,419.18,,8249.0,742.46,730.0,14.74,,2.0,1.1,364.75,,113.485,,2878.755,7.18,,0.0,1.0,0.07,1.0,80.0,20.0,0.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,G,2.0,1.0,0.0,1.0,0.0,,,,0.0,,1.0,0.0,Australasian,1.0,Mammalia,-999.0,Platypus,2.0,1.1,1225.0,22.6,14.74,113.485,-999.0,-999.0,-999.0,-999.0,-999.0,17.0,0.999315537,-999.0,-999.0,1030.3,-999.0,-999.0,-999.0,41.918,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,548.0,Ornithorhynchus,645.23,anatinus,Monotremata,Ornithorhynchidae,ornithorhynchus_anatinus,Platypus,HLornAna3,vs_HLornAna3,ornAna2,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,169.0,-,Insectivore/Carnivore,Insectivore,Insectivore,Insectivore,Carnivore,C-Invertebrate-eater,C-All-Animals-Eater,C-InsVertivore-Insectivore,3.0,Carnivore,-,,0.0,20.0,100.0,0.0,0.0,0.0,-,0.0,,,0.0,A,0.0,0.0,1484.25,Ref_1,,G,80.0,20.0,1.0,0.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,5.0,ABC,Ref_117,0.0,0.0,Ref_1
Didelphis virginiana,Didelphidae,0.0,0.0,0.0,DIDELPHIDAE,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,virginiana,DIDELPHIMORPHIA,0.0,0.0,0.0,Didelphis,0.0,0.0,1.0,0.0,0.0,Omnivore,Didelphis virginiana,1414.5,7.324,402.7,,2555.0,225.55,186.0,12.345,13.0,6.645,2.0,129.346,0.15,100.0,125.0,745.99,1.283,6.15,0.0,2.0,0.58,1.0,20.0,60.0,20.0,20.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,20.0,4.0,2.0,S,1.0,0.0,0.0,1.0,0.0,3000.0,0.0,3000.0,0.0,,1.0,1.0,"Nearctic, Neotropical",3.0,Mammalia,-999.0,Virginia Opossum,6.645,2.0,1414.5,7.0,12.345,100.0,0.15,125.0,-999.0,-999.0,-999.0,4.179166667,0.354373717,1150.0,1650.0,2045.45,-999.0,-999.0,-999.0,40.27,41.0,-999.0,1.38,-999.0,-999.0,-999.0,170.0,241.5,Didelphis,184.0,virginiana,Didelphimorphia,Didelphidae,didelphis_virginiana,Virginia opossum,HLdidVir1,vs_HLdidVir1,,Didelphimorphia,Didelphidae,Didelphis,virginiana,280.0,-,,,,,,O-Generalist,O-Generalist,O-Generalist,2.0,Omnivore,-,,30.0,30.0,50.0,0.0,20.0,20.0,-,,,,,A,20.0,0.0,2195.48,Ref_1,,S,20.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,30.0,16.0,ABC,Ref_117,0.0,30.0,Ref_1
Gracilinanus agilis,Didelphidae,0.0,0.0,0.0,DIDELPHIDAE,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,agilis,DIDELPHIMORPHIA,1.0,0.0,0.0,Gracilinanus,0.0,0.0,0.0,0.0,0.0,Omnivore,Gracilinanus agilis,21.5,,100.665,,2226.5,270.0,290.0,20.0,,11.5,2.0,,0.25,65.0,,,0.128,,1.0,2.0,,,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,3.0,2.0,S,2.0,0.0,0.0,1.0,0.0,,,,0.0,,0.0,0.0,Neotropical,1.0,Mammalia,-999.0,Agile Gracile Opossum,11.5,2.0,21.5,6.1,20.0,65.0,0.25,-999.0,-999.0,-999.0,-999.0,6.075,-999.0,-999.0,38.2,-999.0,-999.0,-999.0,-999.0,10.0665,10.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Gracilinanus,270.0,agilis,Didelphimorphia,Didelphidae,gracilinanus_agilis,Agile gracile opossum,HLgraAgi1,vs_HLgraAgi1,,Didelphimorphia,Didelphidae,Gracilinanus,agilis,297.0,-,,,,,,O-For Examination,O-For Examination,O-For Examination,-999.0,,-,,0.0,0.0,50.0,50.0,0.0,50.0,-,,,,,A,0.0,30.0,22.0,Ref_1,,S,50.0,0.0,0.0,0.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,25.0,ABC,Ref_117,20.0,0.0,Ref_1
Monodelphis domestica,Didelphidae,0.0,0.0,0.0,DIDELPHIDAE,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,domestica,DIDELPHIMORPHIA,0.0,0.0,0.0,Monodelphis,0.0,0.0,0.0,0.0,0.0,Carnivore,Monodelphis domestica,100.0,,169.55,,2190.0,162.11,182.5,14.775,,9.0,4.0,52.714,0.095,51.245,20.65,717.043,2.103,400.0,0.0,1.0,,1.0,20.0,40.0,40.0,20.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,5.0,3.0,G,1.0,0.0,0.0,1.0,0.0,,,,0.0,,0.0,0.0,Neotropical,4.0,Mammalia,-999.0,Gray Short-tailed Opossum,9.0,4.0,100.0,6.0,14.775,51.245,0.095,20.65,-999.0,-999.0,-999.0,5.55,0.144421629,90.0,100.0,104.0,-999.0,-999.0,-999.0,16.955,13.7,-999.0,0.899,-999.0,-999.0,-999.0,-999.0,122.0,Monodelphis,137.1,domestica,Didelphimorphia,Didelphidae,monodelphis_domestica,Opossum,monDom5,vs_monDom5,monDom5,Didelphimorphia,Didelphidae,Monodelphis,domestica,137.0,-,Omnivore,Omnivore,Omnivore,_Omnivore,Omnivore,O-Generalist,O-Generalist,O-Generalist,3.0,Carnivore,-,,20.0,20.0,40.0,20.0,20.0,40.0,-,0.0,,,0.0,A,0.0,20.0,71.4,Ref_1,,G,20.0,0.0,0.0,20.0,0.0,ABC,1.0,0.0,20.0,1.0,0.0,71.0,ABC,Ref_117,0.0,20.0,Ref_1
Sarcophilus harrisii,Dasyuridae,0.0,1.0,0.0,DASYURIDAE,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,harrisii,DASYUROMORPHIA,0.0,0.0,1.0,Sarcophilus,0.0,0.0,1.0,0.0,0.0,Carnivore,Sarcophilus harrisii,6500.0,16.669,678.93,,4766.292,777.31,800.81,26.0,,2.94,1.0,364.75,0.022,243.33,850.0,1704.215,16.265,5.9,0.0,1.0,,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,3.0,G,1.0,0.0,0.0,1.0,0.0,,,,0.0,,1.0,0.0,Australasian,2.0,Mammalia,-999.0,Tasmanian Devil,2.94,1.0,6500.0,13.05833333,26.0,243.33,0.02175,850.0,-999.0,-999.0,-999.0,8.1,0.999315537,7000.0,9000.0,6126.8,-999.0,-999.0,-999.0,67.893,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,730.0,Sarcophilus,730.56,harrisii,Dasyuromorphia,Dasyuridae,sarcophilus_harrisii,Tasmanian devil,HLsarHar2,vs_HLsarHar2,sarHar1,Dasyuromorphia,Dasyuridae,Sarcophilus,harrisii,211.0,-,Omnivore,Omnivore,Omnivore,_Omnivore,Omnivore,O-Scavenger,O-Scavenger,O-Scavenger,3.0,Carnivore,-,,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,,,0.0,A,0.0,0.0,10000.0,Ref_1,,G,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,125.0,ABC,Ref_117,0.0,100.0,Ref_1
Antechinus flavipes,Dasyuridae,0.0,0.0,0.0,DASYURIDAE,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,flavipes,DASYUROMORPHIA,0.0,0.0,2.0,Antechinus,0.0,2.0,2.0,0.0,0.0,Carnivore,Antechinus flavipes,44.665,0.663,114.62,,1423.5,334.58,361.08,30.0,,10.0,1.0,364.75,,92.5,,663.382,1.417,688.83,0.0,1.0,,,90.0,10.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,G,1.0,0.0,0.0,1.0,0.0,,,,0.0,,0.0,0.0,Australasian,5.0,Mammalia,-999.0,Yellow-footed Antechinus,10.0,1.0,44.665,3.9,30.0,92.5,-999.0,-999.0,-999.0,-999.0,-999.0,2.3,0.999315537,30.0,55.15,46.5,-999.0,-999.0,-999.0,11.462,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Antechinus,339.79,flavipes,Dasyuromorphia,Dasyuridae,antechinus_flavipes,Yellow-footed antechinus,HLantFla1,vs_HLantFla1,,Dasyuromorphia,Dasyuridae,Antechinus,flavipes,245.0,-,,,,,,C-Invertebrate-eater,C-Invertebrate-eater,C-Invertebrate-eater,-999.0,,-,,10.0,10.0,100.0,0.0,0.0,0.0,-,,,,,A,0.0,0.0,45.0,Ref_1,,G,90.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,10.0,1.0,0.0,130.0,ABC,Ref_117,0.0,0.0,Ref_1
Phascolarctos cinereus,Phascolarctidae,1.0,0.0,0.0,PHASCOLARCTIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,cinereus,DIPROTODONTIA,0.0,0.0,0.0,Phascolarctos,0.0,0.0,0.0,0.0,0.0,Herbivore,Phascolarctos cinereus,5646.87,20.2,850.0,,8066.5,834.72,730.0,31.0,,1.005,1.0,422.211,0.36,342.0,1155.0,2746.443,2.747,163.01,0.0,2.0,0.01,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,Ar,1.0,0.0,0.0,1.0,0.0,,,,0.0,,0.0,0.0,Australasian,2.0,Mammalia,-999.0,Koala,1.005,1.0,5646.87,22.1,31.0,342.0,0.36,1155.0,-999.0,-999.0,-999.0,20.0,1.156741958,-999.0,-999.0,4732.4,-999.0,-999.0,-999.0,85.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1095.0,Phascolarctos,646.0,cinereus,Diprotodontia,Phascolarctidae,phascolarctos_cinereus,Koala,HLphaCin1,vs_HLphaCin1,HLphaCin1,Diprotodontia,Phascolarctidae,Phascolarctos,cinereus,388.0,-,Herbivore,Herbivore,Herbivore,Herbivore,Herbivore,H-Nonspecific-Herbivore,H-Nonspecific-Herbivore,H-Nonspecific-Herbivore,1.0,Herbivore,-,,0.0,0.0,0.0,0.0,100.0,100.0,-,,,,,A,100.0,0.0,10250.0,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,194.0,ABC,Ref_117,0.0,0.0,Ref_1
Vombatus ursinus,Vombatidae,1.0,0.0,0.0,VOMBATIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ursinus,DIPROTODONTIA,0.0,0.0,0.0,Vombatus,0.0,0.0,0.0,1.0,0.0,Herbivore,Vombatus ursinus,25750.0,61.124,1093.39,,10959.125,755.15,783.65,28.5,,1.0,0.77,729.5,0.495,398.725,5700.0,3542.014,6.328,25.92,0.0,1.0,0.08,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,G,1.0,0.0,0.0,1.0,0.0,1800.0,0.0,1800.0,0.0,,1.0,0.0,Australasian,2.0,Mammalia,-999.0,Common Wombat,1.0,0.77,25750.0,30.025,28.5,398.725,0.495,5700.0,-999.0,-999.0,-999.0,26.1,1.998631075,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,109.339,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,730.0,Vombatus,742.575,ursinus,Diprotodontia,Vombatidae,vombatus_ursinus,Common wombat,HLvomUrs1,vs_HLvomUrs1,,Diprotodontia,Vombatidae,Vombatus,ursinus,452.0,-,,,,,,H-Nonspecific-Herbivore,H-Nonspecific-Herbivore,H-Nonspecific-Herbivore,1.0,Herbivore,-,,0.0,0.0,0.0,0.0,100.0,100.0,-,,,,,A,100.0,0.0,26000.0,Ref_58,,G,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,197.0,ABC,Ref_117,0.0,0.0,Ref_1
Phalanger gymnotis,Phalangeridae,0.0,0.0,0.0,PHALANGERIDAE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,gymnotis,DIPROTODONTIA,0.0,0.0,0.0,Phalanger,0.0,0.0,0.0,0.0,0.0,Omnivore,Phalanger gymnotis,2400.0,13.468,485.36,,6898.5,,,13.0,,1.0,,182.5,,270.0,,,1.716,,0.0,2.0,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,2.0,Ar,1.0,0.0,0.0,1.0,0.0,2700.0,0.0,2700.0,1.0,,1.0,0.0,Australasian,2.0,Mammalia,-999.0,Ground Cuscus,1.0,-999.0,2400.0,18.9,13.0,270.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.88333333,0.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,48.536,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Phalanger,-999.0,gymnotis,Diprotodontia,Phalangeridae,phalanger_gymnotis,Ground cuscus,HLphaGym1,vs_HLphaGym1,,Diprotodontia,Phalangeridae,Phalanger,gymnotis,387.0,-,,,,,,H-Frugivore,H-Frugivore,H-Frugivore,2.0,Omnivore,-,,0.0,0.0,0.0,100.0,0.0,100.0,-,,,,,A,0.0,100.0,2597.89,Ref_1,,Ar,0.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,214.0,ABC,Ref_58,0.0,0.0,Ref_1
