Order,Family,Genus,Species,Binomial,Species.Name,vertebrate,invertebrate,fibrousplant,nonfibrousplant,Adult_bodymass_g,Diet_category,Adult_bodymass_kg,Diet category based on prey type
Artiodactyla,Antilocapridae,Antilocapra,americana,Antilocapra americana,Antilocapra_americana,0,0,1,0,46082.9,Fibrous,46.0829,Herbivore
Artiodactyla,Bovidae,Addax,nasomaculatus,Addax nasomaculatus,Addax_nasomaculatus,0,0,1,0,70000.3,Fibrous,70.0003,Herbivore
Artiodactyla,Bovidae,Aepyceros,melampus,Aepyceros melampus,Aepyceros_melampus,0,0,1,1,52500.1,Nonfibrous/Fibrous,52.5001,Herbivore
Artiodactyla,Bovidae,Alcelaphus,buselaphus,Alcelaphus buselaphus,Alcelaphus_buselaphus,0,0,1,1,171001.5,Nonfibrous/Fibrous,171.0015,Herbivore
Artiodactyla,Bovidae,Ammodorcas,clarkei,Ammodorcas clarkei,Ammodorcas_clarkei,0,0,1,1,28049.8,Nonfibrous/Fibrous,28.0498,Herbivore
Artiodactyla,Bovidae,Ammotragus,lervia,Ammotragus lervia,Ammotragus_lervia,0,0,1,0,48000,Fibrous,48,Herbivore
Artiodactyla,Bovidae,Antidorcas,marsupialis,Antidorcas marsupialis,Antidorcas_marsupialis,0,0,1,0,39049.9,Fibrous,39.0499,Herbivore
Artiodactyla,Bovidae,Antilope,cervicapra,Antilope cervicapra,Antilope_cervicapra,0,0,1,0,37500,Fibrous,37.5,Herbivore
Artiodactyla,Bovidae,Beatragus,hunteri,Beatragus hunteri,Beatragus_hunteri,0,0,1,0,80000,Fibrous,80,Herbivore
Artiodactyla,Bovidae,Bison,bison,Bison bison,Bison_bison,0,0,1,0,579255.3,Fibrous,579.2553,Herbivore
Artiodactyla,Bovidae,Bison,bonasus,Bison bonasus,Bison_bonasus,0,0,1,0,500000,Fibrous,500,Herbivore
Artiodactyla,Bovidae,Bos,javanicus,Bos javanicus,Bos_javanicus,0,0,1,0,700000,Fibrous,700,Herbivore
Artiodactyla,Bovidae,Bos,sauveli,Bos sauveli,Bos_sauveli,0,0,1,0,800000,Fibrous,800,Herbivore
Artiodactyla,Bovidae,Boselaphus,tragocamelus,Boselaphus tragocamelus,Boselaphus_tragocamelus,0,0,1,0,169000,Fibrous,169,Herbivore
Artiodactyla,Bovidae,Budorcas,taxicolor,Budorcas taxicolor,Budorcas_taxicolor,0,0,1,0,302000,Fibrous,302,Herbivore
Artiodactyla,Bovidae,Capra,ibex,Capra ibex,Capra_ibex,0,0,1,0,85166,Fibrous,85.166,Herbivore
Artiodactyla,Bovidae,Capricornis,sumatraensis,Capricornis sumatraensis,Capricornis_sumatraensis,0,0,1,0,87500,Fibrous,87.5,Herbivore
Artiodactyla,Bovidae,Cephalophus,adersi,Cephalophus adersi,Cephalophus_adersi,0,0,1,1,9250,Nonfibrous/Fibrous,9.25,Herbivore
Artiodactyla,Bovidae,Cephalophus,callipygus,Cephalophus callipygus,Cephalophus_callipygus,0,0,1,1,18249.9,Nonfibrous/Fibrous,18.2499,Herbivore
Artiodactyla,Bovidae,Cephalophus,jentinki,Cephalophus jentinki,Cephalophus_jentinki,0,0,1,1,70000.3,Nonfibrous/Fibrous,70.0003,Herbivore
Artiodactyla,Bovidae,Cephalophus,leucogaster,Cephalophus leucogaster,Cephalophus_leucogaster,0,0,1,1,12699.9,Nonfibrous/Fibrous,12.6999,Herbivore
Artiodactyla,Bovidae,Cephalophus,natalensis,Cephalophus natalensis,Cephalophus_natalensis,0,0,1,1,12000,Nonfibrous/Fibrous,12,Herbivore
Artiodactyla,Bovidae,Cephalophus,niger,Cephalophus niger,Cephalophus_niger,0,0,1,1,20400,Nonfibrous/Fibrous,20.4,Herbivore
