Appendix S1. MammalDIET 2 dataset: dietary information for additional 1261 species not covered by Kissling et al. (2014).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binomial,Order,Family,Genus,Species,Animal,Vertebrate,Mammal,Bird,Herptile,Fish,Invertebrate,Plant,Seed,Fruit,Nectar,Root,Leaf,Woody,Herbaceous,Other,TrophicLevel,MammalEater,Insectivore,Frugivore,Granivore,Folivore,Bibliography,,,,,,,,,,,,,,,,,,,,,,,,,
Castor fiber,RODENTIA,CASTORIDAE,Castor,fiber,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,Herbivore,0,0,0,0,1,"Dvořák, J. 2013. Diet preference of Eurasian Beaver (Castor Fiber L., 1758) in the environment of Oderské vrchy and its influence on the tree species composition of river bank stands. Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis, 61(6), 1637-1643.",,,,,,,,,,,,,,,,,,,,,,,,,
Paradoxurus zeylonensis,CARNIVORA,VIVERRIDAE,Paradoxurus,zeylonensis,2,2,2,2,2,0,2,1,0,1,0,0,0,0,0,0,Omnivore,1,1,1,0,0,"Jennings, A.P. & Veron, G. 2009. Family Viverridae. In: Wilson D, Mittermeier RA (eds), Handbook of the mammals of the world, Volume 1, Carnivores. Lynx editions, Barcelona, pp 174–223.",,,,,,,,,,,,,,,,,,,,,,,,,
Dama mesopotamica,CETARTIODACTYLA,CERVIDAE,Dama,mesopotamica,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Herbivore,0,0,0,0,1,"​Bar-David, S., Dolev, A., Dayan, T., & Saltz, D. 1999. Behavioral and ecological aspects of reintroduced Persian fallow deer (Dama dama mesopotamica). In Advances in deer biology: proceedings of the 4th International Deer Biology Congress. Pannon Agricultural University, Kaposvar, Hungary (pp. 187-189).",,,,,,,,,,,,,,,,,,,,,,,,,
Hipposideros armiger,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,armiger,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bates, P.J.J. and Harrison, D.L. 1997. Bats of the Indian Subcontinent. Harrison Zoological Museum. Kent, England. ",,,,,,,,,,,,,,,,,,,,,,,,,
Hipposideros fulvus,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,fulvus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bates, P.J.J. and Harrison, D.L. 1997. Bats of the Indian Subcontinent. Harrison Zoological Museum. Kent, England. ",,,,,,,,,,,,,,,,,,,,,,,,,
Kerivoula picta,CHIROPTERA,VESPERTILIONIDAE,Kerivoula,picta,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bates, P.J.J. and Harrison, D.L. 1997. Bats of the Indian Subcontinent. Harrison Zoological Museum. Kent, England. ",,,,,,,,,,,,,,,,,,,,,,,,,
Myotis horsfieldii,CHIROPTERA,VESPERTILIONIDAE,Myotis,horsfieldii,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bates, P.J.J. and Harrison, D.L. 1997. Bats of the Indian Subcontinent. Harrison Zoological Museum. Kent, England. ",,,,,,,,,,,,,,,,,,,,,,,,,
Rhinolophus beddomei,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,beddomei,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bates, P.J.J. and Harrison, D.L. 1997. Bats of the Indian Subcontinent. Harrison Zoological Museum. Kent, England. ",,,,,,,,,,,,,,,,,,,,,,,,,
Rhinolophus rouxii,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,rouxii,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bates, P.J.J. and Harrison, D.L. 1997. Bats of the Indian Subcontinent. Harrison Zoological Museum. Kent, England. ",,,,,,,,,,,,,,,,,,,,,,,,,
Anthops ornatus,CHIROPTERA,HIPPOSIDERIDAE,Anthops,ornatus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Aselliscus tricuspidatus,CHIROPTERA,HIPPOSIDERIDAE,Aselliscus,tricuspidatus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Dobsonia inermis,CHIROPTERA,PTEROPODIDAE,Dobsonia,inermis,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Dobsonia moluccensis,CHIROPTERA,PTEROPODIDAE,Dobsonia,moluccensis,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Dobsonia praedatrix,CHIROPTERA,PTEROPODIDAE,Dobsonia,praedatrix,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Herbivore,0,0,1,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Emballonura furax,CHIROPTERA,EMBALLONURIDAE,Emballonura,furax,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Emballonura serii,CHIROPTERA,EMBALLONURIDAE,Emballonura,serii,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Hipposideros calcaratus,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,calcaratus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Hipposideros cervinus,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,cervinus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Hipposideros corynophyllus,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,corynophyllus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Hipposideros doriae,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,doriae,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Hipposideros muscinus,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,muscinus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Hipposideros semoni,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,semoni,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Hipposideros wollastoni,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,wollastoni,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Melonycteris melanops,CHIROPTERA,PTEROPODIDAE,Melonycteris,melanops,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,Herbivore,0,0,1,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Melonycteris woodfordi,CHIROPTERA,PTEROPODIDAE,Melonycteris,woodfordi,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,Herbivore,0,0,1,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Miniopterus magnater,CHIROPTERA,VESPERTILIONIDAE,Miniopterus,magnater,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Mormopterus beccarii,CHIROPTERA,MOLOSSIDAE,Mormopterus,beccarii,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Mormopterus loriae,CHIROPTERA,MOLOSSIDAE,Mormopterus,loriae,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Murina florium,CHIROPTERA,VESPERTILIONIDAE,Murina,florium,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Nyctimene cyclotis,CHIROPTERA,PTEROPODIDAE,Nyctimene,cyclotis,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Nyctimene major,CHIROPTERA,PTEROPODIDAE,Nyctimene,major,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Herbivore,0,0,1,1,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Nyctimene vizcaccia,CHIROPTERA,PTEROPODIDAE,Nyctimene,vizcaccia,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Nyctophilus microtis,CHIROPTERA,VESPERTILIONIDAE,Nyctophilus,microtis,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Nyctophilus timoriensis,CHIROPTERA,VESPERTILIONIDAE,Nyctophilus,timoriensis,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Otomops papuensis,CHIROPTERA,MOLOSSIDAE,Otomops,papuensis,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Otomops secundus,CHIROPTERA,MOLOSSIDAE,Otomops,secundus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Pharotis imogene,CHIROPTERA,VESPERTILIONIDAE,Pharotis,imogene,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Pteralopex anceps,CHIROPTERA,PTEROPODIDAE,Pteralopex,anceps,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Pteropus alecto,CHIROPTERA,PTEROPODIDAE,Pteropus,alecto,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,Herbivore,0,0,1,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Pteropus capistratus,CHIROPTERA,PTEROPODIDAE,Pteropus,capistratus,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Pteropus conspicillatus,CHIROPTERA,PTEROPODIDAE,Pteropus,conspicillatus,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,Herbivore,0,0,1,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Pteropus gilliardorum,CHIROPTERA,PTEROPODIDAE,Pteropus,gilliardorum,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,Herbivore,0,0,1,0,1,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
Pteropus macrotis,CHIROPTERA,PTEROPODIDAE,Pteropus,macrotis,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Herbivore,0,0,1,0,0,"Bonaccorso, F. J. 1998. Bats of Papua New Guinea. Conservation International, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,
