,0
Herptile,category
Mammal,category
Fruit,category
Nectar,category
Fish,category
Woody,category
Other,category
Animal,category
Plant,category
Herbaceous,category
Vertebrate,category
Invertebrate,category
Leaf,category
Seed,category
Bird,category
trophic_level,category
activity_cycle,category
freshwater,category
marine,category
terrestrial_non-volant,category
terrestrial_volant,category
habitat_breadth_n,category
Activity.Nocturnal,category
Activity.Crepuscular,category
BodyMass.SpecLevel,category
Activity.Diurnal,category
scientific,category
Order,category
Family,category
Genus,category
DerekDietClassification90InsVertivoreSorting,category
foraging_stratum,category
biogeographical_realm,category
Species,object
adult_mass_g,float64
dphy_invertebrate,float64
dphy_vertebrate,float64
dphy_plant,float64
adult_body_mass_g,float64
Diet.VertTerrestrial,float64
Diet.VertAll,float64
Diet.AnimalsAll,float64
Diet.PlantHighSugar,float64
Diet.PlantLowSugar,float64
Diet.Vunk,float64
Diet.Seed,float64
BodyMass.Value,float64
Diet.Vect,float64
Diet.Scav,float64
Diet.Nect,float64
Diet.PlantO,float64
Diet.Vend,float64
Diet.Inv,float64
Diet.Fruit,float64
Diet.Vfish,float64
