Species.Name,Common.Name.or.Group,FaName,Eats_terrestrial_verts,Eats_fruit,Eats_arthropods,Eats_terrestrial_inverts,Eats_leaves,Eats_grains_seeds,Eats_nectar,Eats_eggs,Eats_fungi,Eats_lichen,Eats_molluscs,Eats_fish,Eats_marine_mammals,Meyer.Lab.Classification,BMR_per_mass,Diet_breadth,Trophic_level,Faith_diversity,Shannon_diversity
Tupaia chinensis,Chinese tree shrew,vs_tupChi1,1,1,1,0,1,1,0,0,0,0,0,0,0,Rare/Ambiguous,NA,NA,NA,NA,NA
Tupaia tana,Sumatran tree shrew,vs_tupBel1,0,1,1,0,1,1,0,0,0,0,0,0,0,Rare/Ambiguous,NA,4,2,NA,NA
Acinonyx jubatus,Cheetah,vs_HLaciJub2,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,48900,1,3,10.33790931,3.983976669
Canis lupus familiaris,Dog,vs_canFam4,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,NA,NA,NA,NA,NA
Canis lupus familiaris,Dog,vs_canFam5,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,NA,NA,NA,NA,NA
Cryptoprocta ferox,Fossa,vs_HLcryFer2,1,0,1,0,0,0,0,0,0,0,0,0,0,Carnivore,NA,2,3,7.011356206,3.194726719
Eschrichtius robustus,Gray Whale,vs_HLescRob1,0,0,1,1,0,0,0,0,0,0,1,1,0,Carnivore,NA,3,2,NA,NA
Eubalaena japonica,North Atlantic Right Whale,vs_HLeubJap1,0,0,1,0,0,0,0,0,0,0,1,1,0,Carnivore,NA,NA,NA,NA,NA
Felis catus,Cat,vs_felCat9,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,NA,NA,NA,NA,NA
Felis nigripes,Black-footed cat,vs_HLfelNig1,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,NA,1,3,NA,NA
Hyaena hyaena,Striped hyaena,vs_HLhyaHya1,1,1,1,0,0,0,0,0,0,0,0,0,0,Carnivore,26800,6,2,27.03020862,5.378204135
Kogia breviceps,Dwarf Sperm Whales,vs_HLkogBre1,0,0,1,0,0,0,0,0,0,0,1,1,0,Carnivore,NA,2,3,NA,NA
Lycaon pictus,African Hunting Dog ,vs_HLlycPic3,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,15375,1,3,17.6012292,4.69848032
Megaderma lyra,Asian False Vampire Bats,vs_HLmegLyr2,1,0,1,0,0,0,0,0,0,0,0,0,0,Carnivore,NA,2,3,NA,NA
Mustela putorius,Ferret,vs_HLmusFur2,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,1030,1,3,NA,NA
Panthera onca,Jaguar,vs_HLpanOnc2,1,0,0,0,0,0,0,0,0,0,0,1,0,Carnivore,86200,1,3,11.42431288,4.085043294
Panthera pardus,Leopard,vs_HLpanPar1,1,0,1,0,0,0,0,0,0,0,0,0,0,Carnivore,NA,1,3,NA,NA
Panthera tigris,Tiger,vs_panTig1,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,161000,1,3,NA,NA
Puma concolor,Puma,vs_HLpumCon1,1,0,0,0,0,0,0,0,0,0,0,0,0,Carnivore,51800,1,3,8.612958554,3.90733759
Ursus maritimus,Polar Bear,vs_ursMar1,1,0,0,0,1,0,0,0,0,0,0,1,1,Carnivore,365000,3,2,NA,NA
Vulpes lagopus,Arctic Fox,vs_HLvulLag1,1,0,0,0,0,0,0,1,0,0,1,1,1,Carnivore,3200,1,3,NA,NA
Ziphius cavirostris,Goose-beaked Whale,vs_HLzipCav1,0,0,0,0,0,0,0,0,0,0,1,1,0,Carnivore,NA,1,3,NA,NA
Condylura cristata,Star-nosed mole,vs_conCri1,0,0,1,1,0,0,0,0,0,0,0,1,0,Carnivore,NA,2,3,NA,NA
Orcinus orca,Killer whale,vs_orcOrc1,0,0,0,0,0,0,0,0,0,0,1,1,1,Carnivore,NA,2,3,NA,NA
Balaenoptera acutorostrata,Minke Whale,vs_balAcu1,0,0,1,0,0,0,0,0,0,0,1,1,0,Planktivore,NA,2,3,NA,NA
Cricetomys gambianus,African Giant Pouched Rats,vs_HLcriGam1,0,0,1,0,1,0,0,0,0,0,1,0,0,Generalist,1521.4,NA,NA,NA,NA
Erinaceus europaeus,Hedgehog,vs_eriEur2,1,1,0,1,0,0,0,1,0,0,0,0,0,Generalist,970.6,8,2,NA,NA
Homo sapiens,Human,vs_REFERENCE,1,1,1,1,1,1,0,0,0,0,0,0,0,Generalist,NA,NA,NA,NA,NA
Mus caroli,Ryukyu mouse,vs_HLmusCar1,1,1,1,0,1,1,0,0,0,0,0,0,0,Generalist,NA,NA,NA,NA,NA
Mus musculus,Common mouse,vs_mm39,1,1,1,0,1,1,0,0,0,0,0,0,0,Generalist,35.7,1,3,NA,NA
Mus pahari,Gairdner's shrewmouse,vs_HLmusPah1,1,1,1,0,1,1,0,0,0,0,0,0,0,Generalist,NA,NA,NA,NA,NA
Mus spretus,Algerian mouse,vs_HLmusSpr1,1,1,1,0,1,1,0,0,0,0,0,0,0,Generalist,21.8,NA,NA,NA,NA
Papio anubis,Olive Baboon,vs_HLpapAnu5,1,1,1,0,1,1,0,1,0,0,1,1,0,Generalist,NA,NA,NA,50.00188382,7.129895163
Rattus norvegicus,Rat,vs_HLratNor7,1,1,1,1,1,1,0,1,0,0,0,1,0,Generalist,NA,1,1,NA,NA
